0,1,2,3,4,5,activation
-1,-1,-1,-1,-1,-1,2.219069480895996
-1,-1,-1,-1,-1,1,1.479731798171997
-1,-1,-1,-1,1,-1,1.4795958995819092
-1,-1,-1,-1,1,1,0.7402510643005371
-1,-1,-1,1,-1,-1,1.4788148403167725
-1,-1,-1,1,-1,1,0.7394874095916748
-1,-1,-1,1,1,-1,0.7393346428871155
-1,-1,-1,1,1,1,0.00034350555506534874
-1,-1,1,-1,-1,-1,1.4793694019317627
-1,-1,1,-1,-1,1,0.7400616407394409
-1,-1,1,-1,1,-1,0.7398282289505005
-1,-1,1,-1,1,1,0.000685904233250767
-1,-1,1,1,-1,-1,0.7391679286956787
-1,-1,1,1,-1,1,0.00026431481819599867
-1,-1,1,1,1,-1,0.00017229383229278028
-1,-1,1,1,1,1,0.0
-1,1,-1,-1,-1,-1,1.478915810585022
-1,1,-1,-1,-1,1,0.7395261526107788
-1,1,-1,-1,1,-1,0.7394093871116638
-1,1,-1,-1,1,1,0.00037357391556724906
-1,1,-1,1,-1,-1,0.7387319803237915
-1,1,-1,1,-1,1,0.00010712112998589873
-1,1,-1,1,1,-1,7.426216325256974e-05
-1,1,-1,1,1,1,0.0
-1,1,1,-1,-1,-1,0.739227294921875
-1,1,1,-1,-1,1,0.00030036712996661663
-1,1,1,-1,1,-1,0.00020794785814359784
-1,1,1,-1,1,1,0.0
-1,1,1,1,-1,-1,3.750345786102116e-05
-1,1,1,1,-1,1,0.0
-1,1,1,1,1,-1,0.0
-1,1,1,1,1,1,0.0
1,-1,-1,-1,-1,-1,1.4791439771652222
1,-1,-1,-1,-1,1,0.7397611141204834
1,-1,-1,-1,1,-1,0.7395972609519958
1,-1,-1,-1,1,1,0.000488286605104804
1,-1,-1,1,-1,-1,0.7388855814933777
1,-1,-1,1,-1,1,0.00015932819223962724
1,-1,-1,1,1,-1,0.00011756325693568215
1,-1,-1,1,1,1,0.0
1,-1,1,-1,-1,-1,0.739359438419342
1,-1,1,-1,-1,1,0.0003932527615688741
1,-1,1,-1,1,-1,0.0002861316897906363
1,-1,1,-1,1,1,0.0
1,-1,1,1,-1,-1,6.791935447836295e-05
1,-1,1,1,-1,1,0.0
1,-1,1,1,1,-1,0.0
1,-1,1,1,1,1,0.0
1,1,-1,-1,-1,-1,0.7389453649520874
1,1,-1,-1,-1,1,0.0001914885942824185
1,1,-1,-1,1,-1,0.0001304007018916309
1,1,-1,-1,1,1,0.0
1,1,-1,1,-1,-1,2.2338008420774713e-05
1,1,-1,1,-1,1,0.0
1,1,-1,1,1,-1,0.0
1,1,-1,1,1,1,0.0
1,1,1,-1,-1,-1,9.460098954150453e-05
1,1,1,-1,-1,1,0.0
1,1,1,-1,1,-1,0.0
1,1,1,-1,1,1,0.0
1,1,1,1,-1,-1,0.0
1,1,1,1,-1,1,0.0
1,1,1,1,1,-1,0.0
1,1,1,1,1,1,0.0
