0,1,2,3,5,7,8,9,11,12,13,14,15,16,17,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.010865038260817528
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0.010824044235050678
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0.011385684832930565
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0.010654483921825886
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.009935330599546432
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.012199695222079754
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.011824149638414383
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,0.010882770642638206
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0.011295831762254238
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0.01217251131311059
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0.011150444857776165
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0.011232304386794567
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0.0104390112683177
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0.012165019288659096
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0.013237131759524345
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.011852569878101349
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,0.011874828487634659
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0.010700448416173458
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0.011966371908783913
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0.010692277923226357
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0.011060834862291813
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,0.010416507720947266
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0.010123164393007755
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0.012689579278230667
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,0.011828546412289143
