1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.010044461116194725
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0.010769359767436981
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0.010655940510332584
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.010918784886598587
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0.010861223563551903
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.011178658343851566
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0.011046837083995342
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0.010457701049745083
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0.009983555413782597
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,0.009682831354439259
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0.01097446447238326
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0.009860128164291382
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,0.010645183734595776
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.011168417520821095
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0.011390781961381435
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0.012168969959020615
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0.012002261355519295
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0.012600908987224102
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,0.012513281777501106
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0.01106644794344902
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0.011994237080216408
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0.01147361658513546
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,0.011179911904036999
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,0.01092466339468956
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,0.011714329322179159
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,0.01254904130473733
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0.008885952644050121
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,0.01042743306607008
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0.009166246745735407
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,0.00990859605371952
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0.009329077787697315
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,0.010351721197366714
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0.009836728684604168
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,0.00985936913639307
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,0.010273401625454426
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,0.009434881620109081
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,0.010018305853009224
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0.010541538707911968
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,0.010122399311512709
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,0.011694340035319328
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,0.010333456099033356
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0.010878830216825008
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,0.010976850986480713
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,0.010961780324578285
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,0.009778219275176525
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,0.010823147371411324
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,0.011462097056210041
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,0.010662592947483063
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,0.011157644912600517
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,0.011567492969334126
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,0.010294094681739807
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,0.01146229449659586
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,0.011189350858330727
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0.011470753699541092
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,0.011836064979434013
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,0.012399477884173393
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,0.011114557273685932
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,0.012075019534677267
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,0.011959372088313103
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,0.011245927773416042
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,0.011613673530519009
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0.010475127957761288
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,0.009925446473062038
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,0.011030337773263454
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,0.009546182118356228
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0.0095011405646801
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,0.009587639942765236
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,0.00992586463689804
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0.010535944253206253
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0.011141280643641949
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,0.01127918716520071
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0.010145203210413456
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,0.010021580383181572
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,0.011633062735199928
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0.01113384310156107
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010153433308005333
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0.011096995323896408
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0.009714020416140556
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,0.009942526929080486
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0.011209098622202873
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,0.009772833436727524
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,0.01087772473692894
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,0.010820746421813965
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,0.00965185509994626
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0.009961678646504879
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,0.009281511418521404
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0.009250874631106853
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,0.0109789427369833
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,0.010438013821840286
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,0.010596887674182653
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,0.009682813659310341
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,0.011555880773812532
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,0.012006726115942001
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,0.011298042256385088
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,0.011562280356884003
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,0.01171493111178279
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0.010364986956119537
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,0.010026746429502964
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,0.010631357319653034
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,0.01111568883061409
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,0.011000162921845913
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,0.011825711466372013
