0,1,2,4,5,7,9,10,11,15,16,17,18,19,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.010483317077159882
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.011535650429626306
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.01077870155374209
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.010617885738611221
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0.010390990413725376
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0.011656828224658966
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0.01055515743792057
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0.012796815950423479
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0.011918388307094574
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0.012122437357902527
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.011480501852929592
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0.008903411217033863
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0.011132373474538326
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0.010135604068636894
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0.011025786399841309
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,0.010273071005940437
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0.009417403489351273
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0.009772409219294786
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0.011169266887009144
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0.011584490537643433
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,0.010986033827066422
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,0.010770400986075401
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0.012284697964787483
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.0115189915522933
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.01039814855903387
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0.009668343234807253
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0.01027754321694374
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0.011003654450178146
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,0.009377420879900455
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0.011431856080889702
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,0.0107268076390028
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,0.010136827360838652
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0.010987845249474049
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0.010326830670237541
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,0.010459830053150654
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0.010736089199781418
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,0.011523966677486897
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,0.0115406084805727
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,0.010650246869772673
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0.008990606293082237
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,0.010331087280064821
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,0.009597070515155792
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,0.008897067978978157
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,0.01025727204978466
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,0.01100732758641243
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,0.009973560459911823
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0.01031242652485768
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0.00974153634160757
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,0.010771352797746658
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,0.010222554672509432
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,0.010173312854021788
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,0.009360610507428646
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,0.010077587328851223
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,0.009935297537595034
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,0.010590150952339172
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0.009800775907933712
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0.010720614343881607
