3,4,5,7,8,10,12,13,14,17,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.008763313759118319
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.008364355564117432
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.008399620302952826
-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.008097371265578728
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0.009173582424409688
-1,-1,-1,-1,-1,-1,-1,1,-1,1,0.008832984991992513
-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.008820597268640994
-1,-1,-1,-1,-1,-1,-1,1,1,1,0.008538602766665545
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.00959133543074131
-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.009256328223273158
-1,-1,-1,-1,-1,-1,1,-1,1,-1,0.009191306152691444
-1,-1,-1,-1,-1,-1,1,-1,1,1,0.008854608982801437
-1,-1,-1,-1,-1,-1,1,1,-1,-1,0.010029235971160233
-1,-1,-1,-1,-1,-1,1,1,-1,1,0.00957232054012517
-1,-1,-1,-1,-1,-1,1,1,1,-1,0.009751755806306998
-1,-1,-1,-1,-1,-1,1,1,1,1,0.009420131146907807
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.008953775279223919
-1,-1,-1,-1,-1,1,-1,-1,-1,1,0.008538549352023337
-1,-1,-1,-1,-1,1,-1,-1,1,-1,0.00863322832932075
-1,-1,-1,-1,-1,1,-1,-1,1,1,0.008378560869739605
-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.009369041421450675
-1,-1,-1,-1,-1,1,-1,1,-1,1,0.009025107719935477
-1,-1,-1,-1,-1,1,-1,1,1,-1,0.009011365783711275
-1,-1,-1,-1,-1,1,-1,1,1,1,0.008853586701055368
-1,-1,-1,-1,-1,1,1,-1,-1,-1,0.009690351022238081
-1,-1,-1,-1,-1,1,1,-1,-1,1,0.00949938123812899
-1,-1,-1,-1,-1,1,1,-1,1,-1,0.009537584721468963
-1,-1,-1,-1,-1,1,1,-1,1,1,0.009159091098064726
-1,-1,-1,-1,-1,1,1,1,-1,-1,0.010243457555770875
-1,-1,-1,-1,-1,1,1,1,-1,1,0.009986662372414554
-1,-1,-1,-1,-1,1,1,1,1,-1,0.009879812225699424
-1,-1,-1,-1,-1,1,1,1,1,1,0.009612060418086392
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0.008261251635849476
-1,-1,-1,-1,1,-1,-1,-1,-1,1,0.007965480035636574
-1,-1,-1,-1,1,-1,-1,-1,1,-1,0.00800432927476672
-1,-1,-1,-1,1,-1,-1,-1,1,1,0.007717940091554608
-1,-1,-1,-1,1,-1,-1,1,-1,-1,0.008679803564316697
-1,-1,-1,-1,1,-1,-1,1,-1,1,0.008463834063149989
-1,-1,-1,-1,1,-1,-1,1,1,-1,0.008447337662801147
-1,-1,-1,-1,1,-1,-1,1,1,1,0.008173011243343353
-1,-1,-1,-1,1,-1,1,-1,-1,-1,0.009115747309156827
-1,-1,-1,-1,1,-1,1,-1,-1,1,0.008823255742234843
-1,-1,-1,-1,1,-1,1,-1,1,-1,0.008799263276159763
-1,-1,-1,-1,1,-1,1,-1,1,1,0.00849194892428138
-1,-1,-1,-1,1,-1,1,1,-1,-1,0.009497149102389812
-1,-1,-1,-1,1,-1,1,1,-1,1,0.009211123093134828
-1,-1,-1,-1,1,-1,1,1,1,-1,0.00918989974473204
-1,-1,-1,-1,1,-1,1,1,1,1,0.008980042256769679
-1,-1,-1,-1,1,1,-1,-1,-1,-1,0.008610770665109157
-1,-1,-1,-1,1,1,-1,-1,-1,1,0.008286516182124615
-1,-1,-1,-1,1,1,-1,-1,1,-1,0.008288582448254932
-1,-1,-1,-1,1,1,-1,-1,1,1,0.007965718023478984
-1,-1,-1,-1,1,1,-1,1,-1,-1,0.00898927760620912
-1,-1,-1,-1,1,1,-1,1,-1,1,0.00869859429076314
-1,-1,-1,-1,1,1,-1,1,1,-1,0.008685508091002703
-1,-1,-1,-1,1,1,-1,1,1,1,0.008364001155963965
-1,-1,-1,-1,1,1,1,-1,-1,-1,0.009344442825143537
-1,-1,-1,-1,1,1,1,-1,-1,1,0.009113218563680466
