4,6,9,11,12,14,15,16,17,18,19,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.009716266393661499
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.010026676580309868
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.00914795334554381
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.009576072543859481
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0.010578155051916838
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0.01058452141781648
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.009911232472707828
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0.010380755364894866
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.009129094425588846
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.009544280889843191
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0.008535595843568444
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0.009041145310870238
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0.00985958023617665
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0.010131483897566795
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0.00940963982914885
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.009637023011843363
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.009930660016834736
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0.010660549936195215
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,0.009679178707301617
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0.01000723745673895
-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.010911475401371717
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,0.01128800461689631
-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0.010194549026588598
-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0.010663554900222354
-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0.009606558131054044
-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,0.009864356182515622
-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0.00915000552777201
-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0.009518044601593698
-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0.010337911173701286
-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0.010756374686025083
-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0.009747901372611523
-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.010155389085412025
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0.009773537516593933
