0,1,2,4,6,7,12,13,14,15,18,19,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0119570167735219
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.012394087389111519
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.01132767740637064
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.011675391346216202
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0.011515677208080888
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0.012136426055803895
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.011084756813943386
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0.011378755792975426
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.011470876634120941
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.011786893242970109
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0.01048990711569786
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0.011018824996426702
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0.01141753252595663
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0.010481603443622589
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.010635884944349527
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.011191930621862411
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,0.010718175210058689
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0.010838721180334687
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.010775758574406305
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0.010132943745702505
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0.010766098741441965
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0.010868085082620382
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0.009634633082896471
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0.010260951472446322
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0.010767810667554537
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0.009315903671085835
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.009779668413102627
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0.01195988617837429
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0.011241833213716745
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0.011321232886984944
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0.0119707640260458
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0.010651500274737677
