0,1,3,5,7,8,9,10,11,12,13,18,19,activation
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.008110727183520794
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.009716401807963848
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.008912736549973488
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0.00976652248452107
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0.009206418879330158
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.01036217249929905
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0.009249728173017502
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.008448353968560696
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.007940883748233318
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0.009165169671177864
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0.008941560983657837
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0.008265425451099873
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0.009707450401037931
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.008752248249948025
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0.008565906435251236
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0.007881793193519115
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0.00880351352194945
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0.009671812877058983
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,0.008437855169177055
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0.010029882192611694
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0.009405129899581274
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,0.007574697025120258
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0.00913877971470356
-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0.008085136612256369
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0.008865674026310444
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0.007942264744391045
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0.009557013167068362
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.008689883165061474
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0.008831960149109364
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0.007935270201414824
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0.008969422429800034
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0.008667600806802511
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0.009111177797118822
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0.009198709391057491
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0.007909324951469898
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,0.007977016735821962
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0.0088379867374897
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,0.007633116329088807
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,0.009205144830048084
-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0.008135379292070866
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0.007400010557224353
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0.009085897356271744
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,0.008099417435005307
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,0.008378833532333374
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0.0077134536889692145
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,0.008227772079408169
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,0.007585224928334355
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0.0081195297340552
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0.0074566565454006195
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0.008554006926715374
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.00817433837801218
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.009024656377732754
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0.008509481325745583
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0.00966463703662157
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0.00957223866134882
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0.008956064470112324
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0.01014262717217207
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0.007512306096032262
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0.008964231237769127
-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,0.008189656073227525
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0.008649888448417187
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,0.008044217713177204
-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,0.008793146349489689
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,0.009201696142554283
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0.008696454111486673
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,0.009978488087654114
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0.009203078225255013
