0,1,2,3,activation
-1,-1,-1,-1,0.9980329964424204
-1,-1,-1,1,-0.9985913414157641
-1,-1,1,-1,-0.9943523411631771
-1,-1,1,1,0.9978928535115758
-1,1,-1,-1,-0.9978488718534445
-1,1,-1,1,0.9977604629964452
-1,1,1,-1,0.9979908530776566
-1,1,1,1,-0.9985087925882292
1,-1,-1,-1,-0.9987916725471345
1,-1,-1,1,0.9963489399950688
1,-1,1,-1,0.9974287499984106
1,-1,1,1,-0.9988643889163815
1,1,-1,-1,0.9979527915000915
1,1,-1,1,-0.9941652685454251
1,1,1,-1,-0.9984451429127088
1,1,1,1,0.9977231149525605
